year,sex,race_cat,pop,total,prop
2010,Female,American Indian/Alaskan Native,611,1176,0.51956
2010,Female,Asian,94834,178346,0.53174
2010,Female,Black,9363,19077,0.4908
2010,Female,Latinx,90331,183140,0.49323
2010,Female,Multirace,11344,22641,0.50104
2010,Female,Native Hawaiian/Pacific Islander,5318,10262,0.51822
2010,Female,White,154812,306712,0.50475
2010,Male,American Indian/Alaskan Native,565,1176,0.48044
2010,Male,Asian,83512,178346,0.46826
2010,Male,Black,9714,19077,0.5092
2010,Male,Latinx,92809,183140,0.50677
2010,Male,Multirace,11297,22641,0.49896
2010,Male,Native Hawaiian/Pacific Islander,4944,10262,0.48178
2010,Male,White,151900,306712,0.49525
2011,Female,American Indian/Alaskan Native,628,1207,0.5203
2011,Female,Asian,96117,180955,0.53117
2011,Female,Black,9419,19293,0.48821
2011,Female,Latinx,91655,185964,0.49286
2011,Female,Multirace,11666,23269,0.50135
2011,Female,Native Hawaiian/Pacific Islander,5422,10446,0.51905
2011,Female,White,155989,309342,0.50426
2011,Male,American Indian/Alaskan Native,579,1207,0.4797
2011,Male,Asian,84838,180955,0.46883
2011,Male,Black,9874,19293,0.51179
2011,Male,Latinx,94309,185964,0.50714
2011,Male,Multirace,11603,23269,0.49865
2011,Male,Native Hawaiian/Pacific Islander,5024,10446,0.48095
2011,Male,White,153353,309342,0.49574
2012,Female,American Indian/Alaskan Native,641,1226,0.52284
2012,Female,Asian,97882,184352,0.53095
2012,Female,Black,9462,19470,0.48598
2012,Female,Latinx,93257,189262,0.49274
2012,Female,Multirace,11993,23974,0.50025
2012,Female,Native Hawaiian/Pacific Islander,5506,10605,0.51919
2012,Female,White,157922,313551,0.50366
2012,Male,American Indian/Alaskan Native,585,1226,0.47716
2012,Male,Asian,86470,184352,0.46905
2012,Male,Black,10008,19470,0.51402
2012,Male,Latinx,96005,189262,0.50726
2012,Male,Multirace,11981,23974,0.49975
2012,Male,Native Hawaiian/Pacific Islander,5099,10605,0.48081
2012,Male,White,155629,313551,0.49634
2013,Female,American Indian/Alaskan Native,659,1267,0.52013
2013,Female,Asian,99153,186939,0.5304
2013,Female,Black,9498,19570,0.48533
2013,Female,Latinx,94567,191897,0.4928
2013,Female,Multirace,12275,24578,0.49943
2013,Female,Native Hawaiian/Pacific Islander,5562,10716,0.51904
2013,Female,White,158838,315626,0.50325
2013,Male,American Indian/Alaskan Native,608,1267,0.47987
2013,Male,Asian,87786,186939,0.4696
2013,Male,Black,10072,19570,0.51467
2013,Male,Latinx,97330,191897,0.5072
2013,Male,Multirace,12303,24578,0.50057
2013,Male,Native Hawaiian/Pacific Islander,5154,10716,0.48096
2013,Male,White,156788,315626,0.49675
2014,Female,American Indian/Alaskan Native,668,1281,0.52147
2014,Female,Asian,100425,189484,0.52999
2014,Female,Black,9508,19659,0.48365
2014,Female,Latinx,95821,194575,0.49246
2014,Female,Multirace,12524,25108,0.49881
2014,Female,Native Hawaiian/Pacific Islander,5635,10852,0.51926
2014,Female,White,159436,317124,0.50276
2014,Male,American Indian/Alaskan Native,613,1281,0.47853
2014,Male,Asian,89059,189484,0.47001
2014,Male,Black,10151,19659,0.51635
2014,Male,Latinx,98754,194575,0.50754
2014,Male,Multirace,12584,25108,0.50119
2014,Male,Native Hawaiian/Pacific Islander,5217,10852,0.48074
2014,Male,White,157688,317124,0.49724
2015,Female,American Indian/Alaskan Native,648,1289,0.50272
2015,Female,Asian,101648,191918,0.52964
2015,Female,Black,9532,19704,0.48376
2015,Female,Latinx,97238,197400,0.49259
2015,Female,Multirace,12807,25727,0.4978
2015,Female,Native Hawaiian/Pacific Islander,5676,10948,0.51845
2015,Female,White,160163,318834,0.50234
2015,Male,American Indian/Alaskan Native,641,1289,0.49728
2015,Male,Asian,90270,191918,0.47036
2015,Male,Black,10172,19704,0.51624
2015,Male,Latinx,100162,197400,0.50741
2015,Male,Multirace,12920,25727,0.5022
2015,Male,Native Hawaiian/Pacific Islander,5272,10948,0.48155
2015,Male,White,158671,318834,0.49766
2016,Female,American Indian/Alaskan Native,652,1279,0.50977
2016,Female,Asian,102342,193344,0.52933
2016,Female,Black,9509,19711,0.48242
2016,Female,Latinx,98212,199261,0.49288
2016,Female,Multirace,13038,26177,0.49807
2016,Female,Native Hawaiian/Pacific Islander,5718,11016,0.51906
2016,Female,White,160144,318934,0.50212
2016,Male,American Indian/Alaskan Native,627,1279,0.49023
2016,Male,Asian,91002,193344,0.47067
2016,Male,Black,10202,19711,0.51758
2016,Male,Latinx,101049,199261,0.50712
2016,Male,Multirace,13139,26177,0.50193
2016,Male,Native Hawaiian/Pacific Islander,5298,11016,0.48094
2016,Male,White,158790,318934,0.49788
2017,Female,American Indian/Alaskan Native,650,1290,0.50388
2017,Female,Asian,102921,194501,0.52915
2017,Female,Black,9473,19667,0.48167
2017,Female,Latinx,98976,200869,0.49274
2017,Female,Multirace,13252,26606,0.49808
2017,Female,Native Hawaiian/Pacific Islander,5743,11047,0.51987
2017,Female,White,159855,318587,0.50176
2017,Male,American Indian/Alaskan Native,640,1290,0.49612
2017,Male,Asian,91580,194501,0.47085
